iter	Passed	Remaining
453	2868	3525
454	2875	3520
455	2889	3523
456	2909	3533
457	2932	3547
458	2945	3548
459	2957	3549
460	2970	3550
461	2990	3559
462	2998	3554
463	3010	3554
464	3033	3568
465	3055	3580
466	3077	3591
467	3089	3591
468	3102	3591
469	3116	3593
470	3122	3586
471	3129	3579
472	3142	3580
473	3153	3579
474	3161	3573
475	3168	3567
476	3174	3560
477	3180	3553
478	3186	3545
479	3192	3537
480	3197	3530
481	3203	3522
482	3209	3515
483	3218	3511
484	3224	3504
485	3230	3496
486	3236	3488
487	3242	3481
488	3248	3474
489	3253	3466
490	3259	3459
491	3265	3451
492	3272	3444
493	3278	3437
494	3284	3430
495	3290	3422
496	3296	3415
497	3302	3408
498	3308	3401
499	3314	3394
500	3320	3386
501	3326	3379
502	3331	3371
503	3338	3364
504	3344	3358
505	3350	3350
506	3358	3345
507	3365	3338
508	3371	3332
509	3379	3326
510	3387	3321
511	3401	3322
512	3412	3319
513	3420	3313
514	3435	3315
515	3444	3310
516	3462	3315
517	3478	3317
518	3491	3316
519	3508	3319
520	3519	3316
521	3549	3332
522	3564	3332
523	3590	3343
524	3605	3344
525	3615	3340
526	3624	3335
527	3637	3334
528	3657	3339
529	3673	3341
530	3692	3345
531	3705	3342
532	3713	3337
533	3720	3330
534	3727	3323
535	3733	3315
536	3739	3308
537	3746	3300
538	3752	3293
539	3759	3285
540	3765	3277
541	3771	3270
542	3777	3262
543	3782	3254
544	3788	3246
545	3794	3238
546	3800	3230
547	3806	3223
548	3812	3215
549	3819	3208
550	3825	3200
551	3831	3192
552	3837	3185
553	3843	3177
554	3849	3169
555	3855	3162
556	3861	3154
557	3867	3146
558	3873	3139
559	3879	3131
560	3885	3123
561	3891	3116
562	3906	3115
563	3933	3124
564	3945	3121
565	3953	3115
566	3980	3123
567	3999	3126
568	4010	3122
569	4022	3118
570	4030	3112
571	4041	3108
572	4051	3103
573	4060	3098
574	4081	3101
575	4094	3099
576	4101	3091
577	4118	3092
578	4125	3084
579	4133	3078
580	4139	3070
581	4145	3063
582	4152	3055
583	4158	3047
584	4164	3039
585	4170	3032
586	4176	3024
587	4182	3016
588	4188	3008
589	4194	3000
590	4200	2992
591	4206	2984
592	4212	2976
593	4218	2968
594	4225	2961
595	4231	2953
596	4240	2947
597	4246	2939
598	4255	2933
599	4261	2926
600	4267	2918
601	4274	2910
602	4279	2903
603	4286	2895
604	4292	2887
605	4298	2879
606	4305	2872
607	4311	2864
608	4317	2857
609	4323	2849
610	4329	2841
611	4336	2834
612	4342	2826
613	4348	2818
614	4355	2811
615	4361	2803
616	4367	2795
617	4373	2788
618	4378	2780
619	4384	2772
620	4390	2764
621	4396	2756
622	4402	2749
623	4409	2741
624	4415	2733
625	4421	2726
626	4427	2718
627	4432	2710
628	4438	2702
629	4444	2694
630	4450	2687
631	4456	2679
632	4462	2671
633	4468	2664
634	4474	2656
635	4480	2648
636	4487	2641
637	4493	2633
638	4499	2626
639	4504	2618
640	4511	2610
641	4517	2603
642	4522	2595
643	4528	2587
644	4535	2580
645	4540	2572
646	4546	2565
647	4552	2557
648	4559	2550
649	4565	2542
650	4571	2534
651	4577	2527
652	4582	2519
653	4589	2512
654	4595	2504
655	4601	2496
656	4607	2489
657	4613	2481
658	4618	2474
659	4624	2466
660	4630	2458
661	4636	2451
662	4642	2443
663	4648	2436
664	4654	2428
665	4660	2421
666	4665	2413
667	4671	2405
668	4677	2398
669	4683	2390
670	4689	2383
671	4695	2375
672	4701	2368
673	4706	2360
674	4713	2353
675	4718	2345
676	4725	2338
677	4731	2330
678	4737	2323
679	4743	2315
680	4749	2308
681	4755	2300
682	4761	2293
683	4766	2285
684	4773	2278
685	4779	2271
686	4785	2263
687	4791	2256
688	4797	2248
689	4803	2241
690	4808	2233
691	4814	2226
692	4820	2218
693	4826	2211
694	4832	2204
695	4838	2196
696	4844	2189
697	4850	2181
698	4859	2175
699	4865	2168
700	4871	2161
701	4877	2154
702	4884	2146
703	4890	2139
704	4901	2134
705	4907	2126
706	4913	2119
707	4919	2112
708	4925	2104
709	4930	2097
710	4936	2089
711	4942	2082
712	4949	2075
713	4955	2068
714	4961	2060
715	4967	2053
716	4973	2046
717	4979	2038
718	4984	2031
719	4990	2024
720	4996	2016
721	5002	2009
722	5008	2002
723	5014	1994
724	5022	1988
725	5028	1980
726	5034	1973
727	5040	1966
728	5046	1958
729	5052	1951
730	5058	1944
731	5064	1937
732	5070	1929
733	5076	1922
734	5082	1915
735	5088	1908
736	5094	1900
737	5100	1893
738	5106	1886
739	5114	1879
740	5120	1872
741	5126	1865
742	5132	1858
743	5138	1851
744	5144	1843
745	5150	1836
746	5156	1829
747	5162	1822
748	5168	1814
749	5174	1807
750	5180	1800
751	5186	1793
752	5192	1785
753	5198	1778
754	5204	1771
755	5210	1764
756	5216	1757
757	5222	1750
758	5228	1742
759	5235	1735
760	5241	1728
761	5248	1722
762	5254	1714
763	5260	1707
764	5266	1700
765	5271	1693
766	5277	1685
767	5283	1678
768	5289	1671
769	5295	1664
770	5301	1657
771	5307	1650
772	5313	1642
773	5319	1635
774	5325	1628
775	5331	1621
776	5337	1614
777	5343	1607
778	5349	1600
779	5355	1592
780	5362	1585
781	5367	1578
782	5373	1571
783	5379	1564
784	5385	1557
785	5391	1550
786	5397	1543
787	5403	1536
788	5409	1528
789	5415	1521
790	5421	1514
791	5427	1507
792	5434	1500
793	5440	1493
794	5446	1486
795	5452	1479
796	5458	1472
797	5464	1465
798	5469	1458
799	5475	1451
800	5481	1444
801	5487	1436
802	5493	1429
803	5499	1422
804	5505	1415
805	5511	1408
806	5517	1401
807	5523	1394
808	5529	1387
809	5535	1380
810	5541	1373
811	5547	1366
812	5554	1359
813	5559	1352
814	5566	1345
815	5572	1338
816	5578	1331
817	5585	1324
818	5591	1317
819	5596	1310
820	5602	1303
821	5609	1296
822	5614	1289
823	5621	1282
824	5627	1275
825	5633	1268
826	5639	1261
827	5646	1254
828	5652	1247
829	5658	1240
830	5664	1233
831	5670	1226
832	5676	1219
833	5681	1212
834	5687	1205
835	5693	1198
836	5699	1191
837	5705	1184
838	5712	1177
839	5718	1170
840	5724	1164
841	5731	1157
842	5737	1150
843	5742	1143
844	5748	1136
845	5754	1129
846	5760	1122
847	5766	1115
848	5773	1108
849	5779	1101
850	5785	1094
851	5791	1087
852	5798	1080
853	5804	1073
854	5810	1066
855	5816	1059
856	5822	1053
857	5828	1046
858	5834	1039
859	5842	1032
860	5848	1025
861	5854	1018
862	5860	1011
863	5865	1004
864	5871	997
865	5877	990
866	5883	984
867	5890	977
868	5896	970
869	5902	963
870	5907	956
871	5913	949
872	5919	942
873	5925	935
874	5931	928
875	5937	921
876	5943	914
877	5949	908
878	5955	901
879	5960	894
880	5967	887
881	5973	880
882	5979	873
883	5985	866
884	5991	859
885	5997	852
886	6003	845
887	6009	839
888	6015	832
889	6021	825
890	6027	818
891	6032	811
892	6038	804
893	6044	797
894	6050	791
895	6056	784
896	6062	777
897	6068	770
898	6074	763
899	6080	756
900	6087	749
901	6093	743
902	6100	736
903	6105	729
904	6111	722
905	6117	715
906	6123	708
907	6130	702
908	6139	695
909	6145	688
910	6151	682
911	6157	675
912	6164	668
913	6169	661
914	6176	654
915	6182	647
916	6188	641
917	6194	634
918	6200	627
919	6206	620
920	6213	613
921	6223	607
922	6230	600
923	6235	593
924	6241	587
925	6247	580
926	6253	573
927	6259	566
928	6264	559
929	6270	552
930	6276	546
931	6282	539
932	6288	532
933	6294	525
934	6300	518
935	6306	512
936	6312	505
937	6317	498
938	6324	491
939	6330	484
940	6336	478
941	6342	471
942	6347	464
943	6353	457
944	6360	450
945	6365	444
946	6372	437
947	6377	430
948	6383	423
949	6389	417
950	6395	410
951	6402	403
952	6408	396
953	6414	389
954	6420	383
955	6426	376
956	6432	369
957	6437	362
958	6443	356
959	6449	349
960	6455	342
961	6462	335
962	6468	329
963	6474	322
964	6480	315
965	6486	308
966	6492	302
967	6498	295
968	6504	288
969	6509	281
970	6516	275
971	6522	268
972	6527	261
973	6533	254
974	6539	248
975	6546	241
976	6551	234
977	6557	227
978	6563	221
979	6569	214
980	6575	207
981	6581	201
982	6587	194
983	6593	187
984	6600	180
985	6606	174
986	6612	167
987	6618	160
988	6625	154
989	6631	147
990	6637	140
991	6643	133
992	6649	127
993	6655	120
994	6661	113
995	6667	107
996	6673	100
997	6679	93
998	6684	86
999	6689	80
1000	6696	73
1001	6702	66
1002	6707	60
1003	6713	53
1004	6720	46
1005	6726	40
1006	6732	33
1007	6737	26
1008	6743	20
1009	6749	13
1010	6755	6
1011	6761	0
